=== DEMO eBPF BGG Banking Simulator - lun 08 jun 2026 11:42:04 CST ===
2026-06-08T17:38:09 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    1.64ms
2026-06-08T17:38:40 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.35ms
2026-06-08T17:39:10 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.33ms
2026-06-08T17:39:41 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.68ms
2026-06-08T17:40:11 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.27ms
2026-06-08T17:40:42 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    5.24ms
2026-06-08T17:41:12 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    1.65ms
2026-06-08T17:41:43 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    3.38ms
2026-06-08T17:42:13 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    5.30ms
2026-06-08T17:42:44 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    2.08ms
2026-06-08T17:43:15 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.68ms
2026-06-08T17:43:45 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    3.82ms
2026-06-08T17:44:16 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.70ms
2026-06-08T17:44:44 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.8596s
2026-06-08T17:44:44 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:44:44 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1413.61ms
2026-06-08T17:44:46 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.86ms
2026-06-08T17:44:47 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.3715s
2026-06-08T17:44:47 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:44:47 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  374.08ms
2026-06-08T17:44:50 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.6654s
2026-06-08T17:44:50 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:44:50 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  668.07ms
2026-06-08T17:44:52 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.4983s
2026-06-08T17:44:52 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:44:52 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  502.37ms
2026-06-08T17:44:55 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.9747s
2026-06-08T17:44:55 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:44:55 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  986.08ms
2026-06-08T17:44:58 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.1044s
2026-06-08T17:44:58 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:44:58 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1107.23ms
2026-06-08T17:45:02 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.0394s
2026-06-08T17:45:02 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:45:02 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1048.21ms
2026-06-08T17:45:04 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.5496s
2026-06-08T17:45:04 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:45:04 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  551.67ms
2026-06-08T17:45:07 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.7296s
2026-06-08T17:45:07 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:45:07 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  733.25ms
2026-06-08T17:45:10 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.8367s
2026-06-08T17:45:10 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T17:45:10 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  844.58ms
2026-06-08T17:45:17 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.32ms
2026-06-08T17:45:47 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.58ms
2026-06-08T17:46:18 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.51ms
2026-06-08T17:46:49 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.30ms
2026-06-08T17:47:19 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.68ms
2026-06-08T17:47:50 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    3.95ms
2026-06-08T17:48:21 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.38ms
2026-06-08T17:48:52 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.62ms
2026-06-08T19:28:12 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.29ms
2026-06-08T19:28:42 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.44ms
2026-06-08T19:29:13 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.48ms
2026-06-08T19:29:43 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    4.75ms
2026-06-08T19:30:14 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.34ms
2026-06-08T19:30:44 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.49ms
2026-06-08T19:31:15 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.33ms
2026-06-08T19:31:45 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.61ms
2026-06-08T19:32:16 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.31ms
2026-06-08T19:32:46 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.28ms
2026-06-08T19:33:17 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.61ms
2026-06-08T19:33:48 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.71ms
2026-06-08T19:34:18 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.28ms
2026-06-08T19:34:24 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.1192s
2026-06-08T19:34:24 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:24 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  142.27ms
2026-06-08T19:34:28 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.0312s
2026-06-08T19:34:28 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:28 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1035.41ms
2026-06-08T19:34:31 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.0480s
2026-06-08T19:34:31 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:31 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1056.24ms
2026-06-08T19:34:33 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.7041s
2026-06-08T19:34:33 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:33 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  711.82ms
2026-06-08T19:34:37 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.2066s
2026-06-08T19:34:37 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:37 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1218.18ms
2026-06-08T19:34:40 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.3630s
2026-06-08T19:34:40 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:40 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1370.49ms
2026-06-08T19:34:45 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.3145s
2026-06-08T19:34:45 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:45 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 2360.28ms
2026-06-08T19:34:48 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.9824s
2026-06-08T19:34:48 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:48 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  988.89ms
2026-06-08T19:34:49 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.75ms
2026-06-08T19:34:50 UTC | INFO     | AUTH     | user=cliente_001          network_delay=0.2801s
2026-06-08T19:34:50 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:50 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency=  290.92ms
2026-06-08T19:34:53 UTC | INFO     | AUTH     | user=cliente_001          network_delay=1.1272s
2026-06-08T19:34:53 UTC | INFO     | AUTH_OK  | user=cliente_001          account=MX-4821-0001 type=PREMIUM
2026-06-08T19:34:53 UTC | INFO     | REQUEST  | method=POST   endpoint=/api/v1/auth/login                  status=200 latency= 1130.44ms
2026-06-08T19:35:19 UTC | INFO     | REQUEST  | method=GET    endpoint=/                                   status=200 latency=    0.40ms
